date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:22	99913/99913	---MCZ	200	added ('OK')	text/html	etag:W/%221980b52f6c5884d52b09eb1e75ce09f5--gzip%22	https://kumquat-guitar-ebwz.squarespace.com/	C:/My%20Web%20Sites/codered/kumquat-guitar-ebwz.squarespace.com/index.html	(from )
22:23:22	354/354	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Mar%202024%2022:23:29%20GMT	https://kumquat-guitar-ebwz.squarespace.com/robots.txt		(from )
22:23:23	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2006%20Mar%202024%2022:23:30%20GMT	http://static1.squarespace.com/static/658c7023be92c93f9a731ec1/t/658c70e05290ba1d050042b1/1703702752479/code+red+devil.png?format=1500w	C:/My%20Web%20Sites/codered/static1.squarespace.com/static/658c7023be92c93f9a731ec1/t/658c70e05290ba1d050042b1/1703702752479/code+red+devil.026f7.delayed	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:25	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:25	20763/20763	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2006%20Mar%202024%2022:23:31%20GMT	http://use.typekit.net/ik/MQy_BK3CiCXzJacCgAgDIb7CAfcXNlvMhUegiT8G5oIfeGjBfFHN4UJLFRbh52jhWDju5ewaw2JDjc9owcwowhjojQSDwAmRwsnUMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-amlSWmyifu1iA8XjWJlZA4apKoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeludWBujWblZamTieBkOAmKiaG0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoniAuUiABXOAiu-WsySKu8j1iEO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJFjAlX-WjlZa4ziemD-kJF-A4lOWgCZW6ldAN0dkJQSY4yZhuyie8RjPu8pYs8dcs8ZfJOjhNuSc88SKuDieb7fbRbdsMMeMb6MKG4fFZlIMMjgPMfH6GJzOSfIMIjgfMfH6GJ3nSfIMIjgkMfH6GJzdSfIMIj2KMfH6GJ3_SfIMIjIPMfH6GJvtMfIMJjgPMfH6GJNjMfIMJjgkMfH6GJvGMfIMJj2kMfH6GJNJMfIMJjIPMfH6GJztXgIMwjgfMfH6GJzjXgIMwjgkMfH6GJ3JXgIMwj2KMfH6GJzGXgIMwjIPMfqMe_xdeCg6.js	C:/My%20Web%20Sites/codered/use.typekit.net/ik/MQy_BK3CiCXzJacCgAgDIb7CAfcXNlvMhUegiT8G5oIfeGjBfFHN4UJLFRbh52jhWDju5ewaw2JDjc9owcwowhjojQSDwAmRwsnUMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-amlSWmyifu1iA8Xj	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:25	22872/22872	---M--	200	added ('OK')	image/png	etag:CJjqxqijsIMDEAE=	https://images.squarespace-cdn.com/content/658c7023be92c93f9a731ec1/ddab73e2-3e11-4ce2-b7f4-d6b8e4ebb5cc/code+red+devil.png?content-type=image%2Fpng	C:/My%20Web%20Sites/codered/images.squarespace-cdn.com/content/658c7023be92c93f9a731ec1/ddab73e2-3e11-4ce2-b7f4-d6b8e4ebb5cc/code+red+devil5d45.png	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:28	44251/44251	---M-Z	200	added ('OK')	text/javascript	etag:%222ad23b8d81ec12d9573374b6d88c202a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-81586fbf3511c88e2522-min.en-US.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-81586fbf3511c88e2522-min.en-US.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:30	124934/124934	---M-Z	200	added ('OK')	text/javascript	etag:%227eba01fd5f44f4fb1ff855daf158668f%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-ee8b113d18003c69b1d0-min.en-US.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-ee8b113d18003c69b1d0-min.en-US.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:30	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:41	246391/246391	---M-Z	200	added ('OK')	text/javascript	etag:%228f52be8a8fb5c252efcbefe0fccd7d35%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-82f1d6ae85195a971a86-min.en-US.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-82f1d6ae85195a971a86-min.en-US.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:44	41297/41297	---M-Z	200	added ('OK')	text/javascript	etag:%22d075e68e0c1d78423566cc7509b471a9%22	http://assets.squarespace.com/universal/scripts-compressed/performance-0d31923e6a842fec8871-min.en-US.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/universal/scripts-compressed/performance-0d31923e6a842fec8871-min.en-US.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
22:23:48	1196768/1196768	---M-Z	200	added ('OK')	text/javascript	etag:%2201af32f2f005030cf45e14604e014523%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-82d5a604aeb33b642fa7-min.en-US.js	C:/My%20Web%20Sites/codered/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-82d5a604aeb33b642fa7-min.en-US.js	(from https://kumquat-guitar-ebwz.squarespace.com/)
